"ID DO ACORDO";"CNPJ DO SANCIONADO";"RAZÃO SOCIAL – CADASTRO RECEITA";"NOME FANTASIA – CADASTRO RECEITA";"DATA DE INÍCIO DO ACORDO";"DATA DE FIM DO ACORDO";"SITUAÇÃO DO ACORDO DE LENIÊNICA";"DATA DA INFORMAÇÃO";"NÚMERO DO PROCESSO";"TERMOS DO ACORDO";"ÓRGÃO SANCIONADOR"
"12";"44023661000108";"U T C ENGENHARIA S/A - EM RECUPERACAO JUDICIAL";"UTC ENGENHARIA";"10/07/2017";"31/03/2038";"Em Execução";"";"00190017877201534";"O acordo foi celebrado entre o Ministério da Transparência e Controladoria-Geral da União (CGU), Advocacia Geral da União (AGU), UTC Engenharia, CONSTRAN S.A. - Construções e Comércio, e UTC Participações, definindo o pagamento no valor total de R$ 574.658.165,21, dos quais R$ 47.954.099,05  correspondem a multa nos termos do inciso I, do artigo 6º, da Lei nº 12.846/2013.";"Controladoria-Geral da União - Unidades com vínculo direto"
"13";"61156568001910";"CONSTRAN S/A - CONSTRUCOES E COMERCIO - EM RECUPERACAO JUDICIAL";"CONSTRAN S/A CONSTRUCOES E COMERCIO";"10/07/2017";"31/03/2038";"Em Execução";"";"00190017877201534";"O acordo foi celebrado entre o Ministério da Transparência e Controladoria-Geral da União (CGU), Advocacia Geral da União (AGU), UTC Engenharia, CONSTRAN S.A. - Construções e Comércio, e UTC Participações, definindo o pagamento no valor total de R$ 574.658.165,21, dos quais R$ 47.954.099,05  correspondem a multa nos termos do inciso I, do artigo 6º, da Lei nº 12.846/2013.";"Controladoria-Geral da União - Unidades com vínculo direto"
"14";"02164892000191";"UTC PARTICIPACOES S/A - EM RECUPERACAO JUDICIAL";"";"10/07/2017";"31/03/2038";"Em Execução";"";"00190017877201534";"O acordo foi celebrado entre o Ministério da Transparência e Controladoria-Geral da União (CGU), Advocacia Geral da União (AGU), UTC Engenharia, CONSTRAN S.A. - Construções e Comércio, e UTC Participações, definindo o pagamento no valor total de R$ 574.658.165,21, dos quais R$ 47.954.099,05  correspondem a multa nos termos do inciso I, do artigo 6º, da Lei nº 12.846/2013.";"Controladoria-Geral da União - Unidades com vínculo direto"
"16";"46516712000169";"FCB BRASIL PUBLICIDADE E COMUNICACAO LTDA";"FCB BRASIL";"13/04/2018";"13/04/2020";"Em Execução";"";"00190.024631/2015-19";"O acordo foi celebrado entre o Ministério da Transparência e Controladoria-Geral da União (CGU), Advocacia Geral da União (AGU), com a interveniência do Ministério Público Federal (MPF) e as empresas MULLEN LOWE BRASIL PUBLICIDADE LTDA (61.067.377/0001-52), FCB BRASIL PUBLICIDADE E COMUNICACAO LTDA (CNPJ 46.516.712/0001-69), tendo como responsável solidária a empresa IPG - THE INTERPUBLIC GROUP OF COMPANIES (sociedade norte-americana por ações), definindo o pagamento no valor total de R$ 50.000.000,00, dos quais R$ 8.056.735,23 correspondem a multa nos termos do inciso I, do artigo 6, da Lei n 12.846/2013.";"Controladoria-Geral da União - Unidades com vínculo direto"
"100001";"EXBILFINGER ";"";"";"14/08/2017";"31/12/2019";"Em Execução";"";"00190.016403/2015-75";"O acordo foi celebrado em 14/08/2017 entre a Controladoria-Geral da União (CGU), Advocacia Geral da União (AGU) e a empresa BILFINGER MASCHINENBAU GMBH & CO KG, definindo o pagamento no valor total de 2.658.169,73 EUROS, dos quais 355.235,62 EUROS correspondem a multa nos termos do inciso I, do artigo 6, da Lei nº 12.846/2013.";"Controladoria-Geral da União - Unidades com vínculo direto"
"500001";"10409062000105";"SBM OFFSHORE DO BRASIL LTDA.";"";"26/07/2018";"26/07/2021";"Em Execução";"";"00190.007023/2015-40";"O acordo foi celebrado entre o Ministério da Transparência e Controladoria-Geral da União (CGU), Advocacia Geral da União (AGU), e as empresas SBM OFFSHORE N.V. (Companhia aberta de responsabilidade limitada de acordo com as leis da Holanda), SBM HOLDING S.A. (Companhia de responsabilidade limitada constituída de acordo com as leis da Suíça), definindo o pagamento no valor total de R$549.000.000,00 e US$ 179.804.884,00.";"Controladoria-Geral da União - Unidades com vínculo direto"
"500002";"15102288000182";"CNO S.A";"";"09/07/2018";"09/07/2040";"Em Execução";"";"00190103765201848";"O acordo foi celebrado entre o Ministério da Transparência e Controladoria-Geral da União (CGU), Advocacia Geral da União (AGU) e a ODEBRECHT S/A, representando seu Grupo econômico, exceto uma empresa. Foi definido o pagamento no valor total de R$ 2.727.239.997,64 (dois bilhões, setecentos e vinte e sete milhões, duzentos e trinta e nove mil, novecentos e noventa e sete reais e sessenta e quatro centavos), dos quais R$ 311.191.571,34 correspondem a multa nos termos do inciso I, do artigo 6, da Lei n 12.846/2013.";"Controladoria-Geral da União - Unidades com vínculo direto"
"700001";"17262213000194";"ANDRADE GUTIERREZ ENGENHARIA S/A";"CONSTRUTORA ANDRADE GUTIERREZ SA EST. UNIF.";"18/12/2018";"28/06/2031";"Em Execução";"";"00190.024632/2015-63";"O acordo foi celebrado entre o Ministério da Transparência e Controladoria-Geral da União (CGU), Advocacia Geral da União (AGU), e as empresas Andrade Gutierrez Investimentos em Engenharia S/A (Sociedade Anônima Fechada) e Andrade Gutierrez Engenharia S/A (Sociedade Anônima Fechada), definindo o pagamento no valor total de R$ 1.489.361.135,32.";"Controladoria-Geral da União - Unidades com vínculo direto"
"800001";"22641641000168";"AMBIENTAL ENGENHARIA E CONSULTORIA LTDA";"";"27/05/2019";"16/10/2019";"Em Execução";"";"0128/2014";"Tendo em vista a ausência de manifestação da Assessoria Jurídica deste Município dando ampara a Administração Pública quanto ao presente ato, a empresa AMBIENTAL ENGENHARIA E CONSULTORIA LTDA só apresentou sua defesa após tomar conhecimento da penalidade através do impedimento em poder participar de outras licitações junto a CGU, pois não obteve o conhecimento da notificação aplicada anteriormente.Sendo assim, a fim de evitar mais danos a empresa, acatamos a defesa apresentada e cancelamos a penalidade.";"Controladoria-Geral da União - Unidades com vínculo direto"
"900001";"42150391000170";"BRASKEM S.A";"BRASKEM";"31/05/2019";"30/01/2025";"Em Execução";"";"00190.103608/2017-51";"O acordo foi celebrado em 31/05/2019 entre a Controladoria-Geral da União (CGU), a Advocacia-Geral da União (AGU) e a empresa Braskem S.A., definindo o pagamento no valor total de R$ 2.872.038.787,73, dos quais R$ 126.501.512,33 correspondem a multa nos termos do inciso I, do artigo 6, da Lei nº 12.846/2013.";"Controladoria-Geral da União - Unidades com vínculo direto"
