"CNPJ/CPF do Sancionado";"Nome";"UF do sancionado";"Tipo da Sanção";"Data Inicial da Sanção";"Data Final da Sanção";"Nome do Órgão Sancionador";"Valor da Multa";
"07.566.994/0001-57";"2 lpm center comercio e distribuidora ltda epp";"RJ";"Publicação Extraordinária - Lei 12.846/13";"25/07/2017";"Sem informação";"Prefeitura Municipal de Macaé - RJ";"0,00";
"00.715.160/0001-17";"a & a comunicacao ltda - me";"SP";"Publicação Extraordinária - Lei 12.846/13";"23/04/2019";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"0,00";
"18.480.800/0001-12";"a. l. raposo engenharia e manutencao ltda";"RJ";"Multa - Lei 12.846/13";"10/10/2019";"Sem informação";"PREFEITURA MUNICIPAL DE RIO DAS OSTRAS - RJ";"72.556,84";
"14.100.924/0001-74";"abreu & abreu servicos eireli me";"SC";"Multa - Lei 12.846/13";"20/12/2019";"Sem informação";"PREFEITURA MUNICIPAL DE CAPINZAL - SC";"44.503,81";
"09.559.087/0001-06";"albanq servicos e locacao de equipamentos";"RJ";"Multa - Lei 12.846/13";"22/01/2020";"Sem informação";"PREFEITURA MUNICIPAL DE RIO DAS OSTRAS - RJ";"192.966,45";
"13.540.305/0001-38";"aliles monteiro vieira - me";"ES";"Multa - Lei 12.846/13";"19/04/2018";"Sem informação";"Governo do Estado do Espírito Santo (SECONT - Secretaria de Estado de Controle e Transparência)";"8.172,00";
"19.823.999/0001-05";"alimentare servicos de restaurante e lanchonete ltda.";"PR";"Multa - Lei 12.846/13";"15/08/2016";"Sem informação";"EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUÁRIA";"77.556,77";
"23.129.842/0001-43";"almir da silva santos 04837346405";"PE";"Multa - Lei 12.846/13";"19/06/2019";"Sem informação";"Prefeitura Municipal de São Lourenço da Mata -PE";"6.000,00";
"23.129.842/0001-43";"almir da silva santos 04837346405";"PE";"Multa - Lei 12.846/13";"11/06/2019";"Sem informação";"Prefeitura Municipal de São Lourenço da Mata -PE";"6.000,00";
"10.786.518/0001-56";"art audio, video, projecoes & informatica ltda - me";"SP";"Multa - Lei 12.846/13";"26/09/2019";"Sem informação";"Ministério da Justiça e Segurança Pública";"45.258,08";
"10.786.518/0001-56";"art audio, video, projecoes & informatica ltda - me";"SP";"Publicação Extraordinária - Lei 12.846/13";"26/09/2019";"Sem informação";"Ministério da Justiça e Segurança Pública";"0,00";
"04.977.561/0001-04";"art som e iluminacao ltda-me";"ES";"Multa - Lei 12.846/13";"10/12/2018";"Sem informação";"Prefeitura Municipal Vitória (ES)";"6.764,19";
"04.977.561/0001-04";"art som e iluminacao ltda-me";"ES";"Publicação Extraordinária - Lei 12.846/13";"10/12/2018";"Sem informação";"Prefeitura Municipal Vitória (ES)";"0,00";
"14.989.665/0001-84";"barbosa & silva construcos ltda";"MG";"Multa - Lei 12.846/13";"29/08/2017";"Sem informação";"Governo do Estado do Espírito Santo (SECONT - Secretaria de Estado de Controle e Transparência)";"33.686,60";
"15.657.176/0001-98";"beca cine video e eventos artisticos eireli";"SP";"Publicação Extraordinária - Lei 12.846/13";"17/04/2018";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"0,00";
"15.657.176/0001-98";"beca cine video e eventos artisticos eireli";"SP";"Multa - Lei 12.846/13";"17/04/2018";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"50.000,00";
"14.534.916/0001-36";"blunac distribuidora eireli me";"SC";"Multa - Lei 12.846/13";"18/09/2019";"18/09/2024";"PREFEITURA MUNICIPAL DE LAJEADO - RS";"710,57";
"11.753.865/0001-45";"brasfitness comercio de artigos esportivos";"DF";"Multa - Lei 12.846/13";"11/10/2017";"Sem informação";"CONTROLADORIA  GERAL DO ESTADO DE MINAS GERAIS - MG";"608.016,54";
"11.753.865/0001-45";"brasfitness comercio de artigos esportivos";"DF";"Publicação Extraordinária - Lei 12.846/13";"11/10/2017";"Sem informação";"CONTROLADORIA  GERAL DO ESTADO DE MINAS GERAIS - MG";"0,00";
"***.720.748-**";"bruno soares bernardo";"SP";"Publicação Extraordinária - Lei 12.846/13";"19/10/2018";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"0,00";
"***.720.748-**";"bruno soares bernardo";"SP";"Multa - Lei 12.846/13";"19/10/2018";"Sem informação";"Controladoria-Geral do Município de São Paulo - SP";"180.000,00";
