"";"palavra";"frequencia"
"1";"integridade";320
"2";"etica";223
"3";"risco";114
"4";"compliance";113
"5";"gestao";105
"6";"conduta";97
"7";"codigo";94
"8";"programa";87
"9";"governanca";78
"10";"internos";76
"11";"empresas";73
"12";"eletrobras";68
"13";"controles";60
"14";"2018";57
"15";"banco";56
"16";"politica";55
"17";"conformidade";51
"18";"acoes";47
"19";"corrupcao";46
"20";"normas";44
"21";"processos";43
"22";"administracao";43
"23";"auditoria";41
"24";"fornecedores";38
"25";"2019";37
"26";"tambem";37
"27";"meio";36
"28";"processo";36
"29";"principios";34
"30";"empregados";33
"31";"interna";33
"32";"controle";32
"33";"praticas";31
"34";"negocios";31
"35";"todos";31
"36";"informacoes";30
"37";"servicos";29
"38";"alem";29
"39";"temas";28
"40";"corporativa";28
"41";"avaliacao";28
"42";"conselho";28
"43";"empresa";28
"44";"comite";27
"45";"seguranca";27
"46";"transparencia";27
"47";"valores";27
"48";"comissao";27
"49";"instituicao";26
"50";"base";25
"51";"procedimentos";25
"52";"combate";25
"53";"bem";25
"54";"politicas";25
"55";"prevencao";24
"56";"colaboradores";24
"57";"empresarial";24
"58";"diretoria";23
"59";"responsabilidade";23
"60";"diretrizes";23
"61";"nao";22
"62";"cultura";22
"63";"atuacao";22
"64";"atividades";22
"65";"estrutura";22
"66";"social";22
"67";"publicos";20
"68";"compromisso";20
"69";"unidades";20
"70";"comunicacao";20
"71";"conjunto";20
"72";"relevantes";20
"73";"relatorio";19
"74";"normativos";19
"75";"relacionados";19
"76";"eticos";19
"77";"objetivo";19
"78";"relacionamento";19
"79";"aplicacao";19
"80";"lei";19
"81";"abgf";19
"82";"acordo";18
"83";"mecanismos";18
"84";"desde";18
"85";"quanto";18
"86";"nordeste";18
"87";"denuncias";18
"88";"interno";17
"89";"revisao";17
"90";"executiva";17
"91";"relacao";17
"92";"ambiente";17
"93";"gestores";17
"94";"sistema";17
"95";"garantir";17
"96";"companhia";17
"97";"conforme";17
"98";"operacional";16
"99";"ser";16
"100";"linha";16
