"";"palavra";"frequencia"
"1";"integridade";199
"2";"etica";158
"3";"empresas";71
"4";"eletrobras";68
"5";"risco";67
"6";"compliance";64
"7";"gestao";63
"8";"codigo";58
"9";"conduta";56
"10";"programa";51
"11";"governanca";51
"12";"banco";50
"13";"internos";48
"14";"politica";43
"15";"controles";42
"16";"2018";39
"17";"fornecedores";38
"18";"corrupcao";37
"19";"conformidade";33
"20";"processo";33
"21";"acoes";32
"22";"normas";31
"23";"2019";29
"24";"administracao";27
"25";"negocios";26
"26";"principios";26
"27";"processos";26
"28";"corporativa";26
"29";"empresarial";24
"30";"alem";23
"31";"praticas";22
"32";"servicos";22
"33";"transparencia";21
"34";"seguranca";21
"35";"todos";21
"36";"avaliacao";21
"37";"temas";19
"38";"informacoes";19
"39";"conselho";19
"40";"relacionamento";19
"41";"publicos";19
"42";"diretrizes";19
"43";"colaboradores";18
"44";"nordeste";18
"45";"interna";18
"46";"valores";17
"47";"prevencao";17
"48";"politicas";17
"49";"estrutura";17
"50";"instituicao";17
"51";"combate";17
"52";"responsabilidade";16
"53";"empregados";16
"54";"diretoria";16
"55";"companhia";16
"56";"auditoria";16
"57";"denuncias";16
"58";"sistema";15
"59";"procedimentos";15
"60";"ambiente";14
"61";"bem";14
"62";"social";14
"63";"petrobras";13
"64";"alta";13
"65";"gestores";13
"66";"atividades";13
"67";"atuacao";13
"68";"relevantes";13
"69";"quanto";13
"70";"conforme";13
"71";"lei";13
"72";"nao";13
"73";"controle";12
"74";"linha";12
"75";"cultura";12
"76";"atos";12
"77";"comunicacao";12
"78";"relatorio";12
"79";"valor";12
"80";"relacoes";12
"81";"brasil";12
"82";"tema";12
"83";"funcionarios";12
"84";"compromissos";11
"85";"compromisso";11
"86";"objetivo";11
"87";"garantir";11
"88";"ser";11
"89";"executiva";11
"90";"relacionados";11
"91";"base";11
"92";"comportamento";11
"93";"comissao";11
"94";"normativos";11
"95";"produtos";11
"96";"mecanismos";11
"97";"dimensoes";11
"98";"acordo";11
"99";"aprimoramento";11
"100";"interesse";11
