 Projeção da População do Brasil por sexo e idade simples: 2000-2060;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
População residente por Faixa Etária 1 e Ano;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Período:2000-2060;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faixa Etária 1;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
0 a 4 anos;17314510;17333637;17309347;17240518;17126610;16975813;16748883;16518269;16284481;16049820;15816957;15587805;15363958;15147056;14938133;14737740;14545488;14360778;14182966;14011332;13845258;13684541;13528622;13376432;13227251;13080689;12936538;12794993;12656486;12521067;12388311;12261572;12143939;12033715;11929335;11828026;11726815;11619565;11506824;11389203;11267417;11142155;11014162;10884308;10753466;10622481;10492339;10363846;10237433;10113472;9992242;9874031;9758973;9646975;9537920;9431654;9328007;9226760;9127673;9030514;8935080
5 a 9 anos;17273758;17252925;17241043;17236778;17237068;17230352;17254039;17234647;17170904;17062172;16916587;16695060;16469622;16240430;16009509;15779109;15551873;15329961;15114823;14907522;14708594;14517525;14333818;14156987;13986325;13821219;13661389;13506269;13354843;13206388;13060538;12916774;12775605;12637473;12502414;12371376;12245142;12127992;12018192;11914176;11813256;11712432;11605542;11493163;11375894;11254445;11129519;11001830;10872281;10741744;10611029;10481140;10352904;10226745;10103042;9982070;9864087;9749231;9637411;9528518;9422407
10 a 14 anos;17518796;17402474;17329890;17291927;17266480;17240164;17220180;17209088;17205581;17206586;17200577;17225082;17206777;17144166;17036612;16892243;16672044;16447927;16220015;15990363;15761172;15534788;15313372;15098723;14891859;14693367;14502730;14319466;14143062;13972821;13808096;13648345;13493350;13342036;13193660;13047889;12904522;12763698;12625874;12491148;12360437;12234508;12117606;12008062;11904342;11803684;11703045;11596346;11484188;11367158;11245918;11121167;10993644;10864256;10733877;10603358;10473687;10345641;10219663;10096126;9975265
15 a 19 anos;18097555;18119828;18006076;17806344;17602425;17447357;17332309;17260627;17223245;17198226;17172257;17153030;17143273;17141387;17144248;17140200;17166564;17150098;17089362;16983733;16841311;16623017;16400447;16174019;15945805;15717986;15492977;15272933;15059598;14853983;14656646;14466866;14284508;14108926;13939423;13775389;13616605;13462547;13312095;13164539;13019512;12876849;12736720;12599632;12465611;12335513;12210170;12093819;11984767;11881481;11781255;11681067;11574839;11463110;11346486;11225675;11101338;10974221;10845232;10715222;10585085
20 a 24 anos;16346745;16738956;17146912;17525805;17809769;17960346;17983683;17871791;17674357;17472598;17319107;17205781;17136273;17101326;17079105;17056423;17040654;17034257;17035512;17041319;17040111;17068581;17053920;16995118;16891549;16751282;16535635;16315694;16091849;15866200;15640863;15417872;15199907;14988582;14784873;14589391;14401683;14221210;14047421;13879630;13717223;13559989;13407370;13258292;13112061;12968343;12826916;12687928;12551950;12418955;12289837;12165451;12049970;11941745;11839264;11739811;11640364;11534861;11423851;11307943;11187812
25 a 29 anos;14468665;14751901;15074831;15429819;15805016;16188242;16579582;16986197;17363699;17646823;17797553;17822613;17714321;17521645;17325091;17176808;17068601;17003793;16973092;16954854;16935971;16923258;16919166;16922538;16930314;16931005;16961101;16948291;16891484;16790085;16652108;16438680;16221151;15999769;15776573;15553654;15333484;15118129;14909232;14707900;14514616;14328948;14150490;13978611;13812624;13651928;13496274;13345138;13197508;13052682;12910300;12770155;12632412;12497576;12365684;12237630;12114247;11999714;11892355;11790692;11692041
30 a 34 anos;13436025;13572135;13712393;13870533;14065051;14306505;14590689;14913958;15268717;15643256;16025477;16415898;16821840;17199263;17483642;17637407;17666798;17563875;17377213;17186554;17043597;16939759;16878260;16850436;16834793;16818332;16808024;16806308;16811842;16821580;16824134;16855264;16843734;16788460;16688868;16552872;16342484;16127919;15909391;15688909;15468574;15250828;15037848;14831297;14632150;14440914;14257215;14080601;13910397;13746005;13586846;13432675;13282950;13136678;12993128;12851961;12712995;12576400;12442675;12311827;12184747
35 a 39 anos;12497963;12699486;12860762;12994475;13120828;13254354;13393467;13536501;13697042;13893386;14135911;14420686;14744294;15099170;15473785;15856255;16246942;16652990;17030859;17316692;17473250;17506233;17407692;17226018;17040165;16901400;16801408;16743404;16718640;16705807;16691976;16683731;16683896;16691100;16702358;16706421;16739353;16729837;16676759;16579544;16446050;16238572;16026837;15811039;15593141;15375357;15160126;14949550;14745284;14548273;14359020;14177223;14002390;13833871;13671146;13513537;13360813;13212515;13067627;12925372;12785474
40 a 44 anos;10779160;11103110;11430728;11748126;12034508;12278037;12482076;12646465;12783678;12913450;13050164;13192312;13338350;13501597;13700143;13944226;14230010;14554024;14908841;15283177;15665301;16055346;16460310;16837386;17123463;17281684;17317777;17223837;17047576;16867037;16732938;16636707;16581845;16559723;16549248;16537642;16531891;16534337;16543633;16556927;16563004;16597548;16589902;16538937;16444066;16313098;16108775;15900113;15687311;15472369;15257503;15045031;14837066;14635297;14440645;14253678;14074066;13901269;13734727;13573861;13417981
45 a 49 anos;8928759;9245644;9561223;9876810;10195079;10516466;10839702;11166621;11483586;11770215;12014841;12220897;12388253;12528960;12662331;12802397;12947682;13096707;13262537;13462945;13708027;13993809;14316876;14670172;15042635;15422795;15810822;16213587;16588846;16874409;17033914;17072761;16983383;16812818;16637972;16508759;16417021;16365907;16346853;16339154;16330262;16326988;16331692;16343125;16358374;16366372;16402468;16396676;16347910;16255673;16127682;15927207;15722308;15513229;15301953;15090608;14881530;14676869;14478252;14286647;14102602
50 a 54 anos;7105097;7404596;7704810;8006479;8312316;8623561;8937019;9249416;9561999;9877343;10195824;10516455;10841091;11156334;11442231;11687344;11894903;12064747;12208578;12345155;12488105;12635859;12786967;12954362;13155430;13400074;13684429;14005163;14355374;14724314;15100814;15484918;15883582;16255288;16538991;16698964;16740742;16656809;16493257;16325379;16202110;16115449;16068387;16052577;16047755;16041708;16041099;16048217;16061823;16078975;16088836;16126391;16122543;16076268;15987120;15862673;15667032;15466962;15262640;15056039;14849297
55 a 59 anos;5445582;5652053;5900595;6179657;6470614;6761728;7054866;7349075;7644993;7945147;8250688;8558690;8866088;9174062;9485114;9799612;10116412;10437153;10748841;11032142;11276016;11483451;11654298;11799936;11938419;12082892;12231912;12384079;12551911;12752285;12994816;13275689;13591840;13936571;14299605;14670166;15048319;15440584;15806494;16086494;16245849;16290085;16212032;16056561;15896880;15780523;15699652;15657070;15644667;15642798;15639650;15641658;15651080;15666720;15685692;15697402;15736134;15734177;15690644;15605163;15485087
60 a 64 anos;4513522;4611832;4697462;4787311;4906585;5069578;5271797;5513487;5783963;6065924;6348447;6633208;6919282;7207232;7499452;7797050;8097251;8397098;8697681;9001331;9308355;9617564;9930456;10234695;10511746;10751046;10955553;11125130;11270592;11409142;11553270;11701530;11852814;12019094;12216618;12454642;12729500;13038005;13373829;13727242;14087975;14455992;14837457;15193398;15466372;15622940;15668711;15597041;15451077;15301180;15192846;15118454;15080630;15071600;15072553;15072167;15076652;15088198;15105569;15126051;15139410
65 a 69 anos;3493661;3589547;3706117;3833079;3954731;4063480;4162692;4250785;4343115;4462513;4621978;4817408;5048950;5306850;5575432;5844703;6116344;6389645;6665075;6944755;7229599;7517010;7804232;8092297;8383370;8677688;8974099;9274015;9565761;9831897;10062488;10260382;10425744;10568612;10705014;10846599;10992096;11140218;11302384;11494014;11723912;11988470;12284471;12606015;12944170;13289296;13641306;14006000;14346277;14607597;14758459;14804562;14739995;14605569;14467646;14368993;14302260;14269745;14264145;14267823;14270191
70 a 74 anos;2696950;2756503;2805444;2853004;2912039;2989210;3082622;3194031;3314471;3430343;3535046;3631693;3718984;3810343;3925728;4076511;4259166;4473931;4712250;4960344;5209414;5460931;5714314;5970010;6229791;6494438;6761620;7028840;7297004;7568054;7842140;8118157;8397420;8669173;8917478;9133333;9319566;9476452;9613097;9743893;9879277;10018121;10159211;10313148;10494214;10710433;10958236;11234409;11533618;11848058;12169057;12496358;12835215;13151213;13393929;13534561;13578964;13522382;13402459;13279838;13193419
75 a 79 anos;1759132;1832671;1912831;1993863;2068284;2133020;2190158;2239350;2287859;2345842;2418507;2504505;2605448;2713799;2818329;2913596;3002421;3084038;3169590;3275690;3411743;3574724;3764731;3974631;4193005;4412524;4634545;4858662;5085164;5315456;5550102;5787045;6024149;6262184;6502853;6746305;6991589;7239774;7481399;7702507;7895309;8062549;8204729;8329685;8449660;8573526;8700284;8828862;8968671;9132372;9326963;9548937;9795119;10061095;10340433;10625693;10916465;11217207;11497236;11712016;11836481
80 a 84 anos;994067;1031252;1072847;1119013;1170440;1226862;1287905;1354364;1421793;1484515;1540149;1590517;1635653;1680744;1733123;1796449;1869824;1954490;2044693;2131881;2212046;2287583;2358190;2432504;2523248;2637518;2772874;2929285;3101226;3279955;3459893;3642108;3826318;4012703;4202249;4395326;4590417;4785891;4982382;5181267;5382602;5585568;5790979;5991000;6174224;6334426;6474217;6594310;6700935;6803678;6909475;7017521;7126896;7245458;7383738;7547363;7733063;7937789;8158135;8389364;8625639
85 a 89 anos;493932;496283;507823;525567;547520;572304;600073;630986;665093;702752;743640;787832;836135;885459;931944;973943;1012885;1049081;1085738;1127421;1176296;1231832;1294967;1361753;1426443;1486408;1543578;1598035;1655710;1725232;1811290;1911986;2027081;2152704;2282994;2414239;2547386;2682408;2819390;2958912;3101112;3244949;3389292;3534611;3681914;3831184;3981766;4134205;4282622;4418641;4537819;4642443;4733432;4815189;4894324;4975618;5058451;5142135;5232638;5337832;5461797
90 anos e mais;284467;290396;294994;300000;306124;313427;323395;337097;353863;373058;394087;417546;443870;472891;504610;538633;575570;616336;659136;701803;743209;784647;826871;870707;917482;967667;1021541;1080039;1141217;1202457;1262580;1323921;1386363;1452409;1525643;1607923;1698651;1797856;1904497;2017119;2134707;2257681;2386197;2519763;2657902;2800108;2946047;3095163;3247540;3403576;3562951;3725037;3889867;4053718;4211655;4361080;4503636;4640338;4771880;4899392;5024073
Total;173448346;175885229;178276128;180619108;182911487;185150806;187335137;189462755;191532439;193543969;195497797;197397018;199242462;201032714;202768562;204450649;206081432;207660929;209186802;210659013;212077375;213440458;214747509;215998724;217193093;218330014;219408552;220428030;221388185;222288169;223126917;223904308;224626629;225291340;225896169;226438916;226917266;227329138;227673003;227947957;228153204;228287681;228350924;228343224;228264820;228116279;227898165;227611124;227256259;226834687;226347688;225796508;225182233;224506312;223770235;222975532;222123791;221216414;220254812;219240240;218173888
 Fonte:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Projeção da população do Brasil por sexo e idade para o período 2000-2060;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;8%;8%;8%;9%;9%;9%;9%;9%;9%;10%;10%;10%;11%;11%;11%;12%;12%;13%;13%;13%;14%;14%;15%;15%;16%;16%;17%;17%;18%;18%;19%;19%;20%;20%;21%;21%;22%;22%;23%;23%;24%;24%;25%;26%;26%;27%;27%;28%;28%;29%;29%;30%;30%;31%;31%;32%;32%;32%;33%;33%;34%
